,img_id_A,img_id_B,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
0,0577a,0577c,1,2,1,1,0,2,2,0,1,2,1,1,1,1,2,3,0,0,2
1,1140c,1140b,1,2,4,1,2,2,1,0,1,2,0,0,1,3,0,1,1,2,1
2,1454c,1454a,1,1,1,1,0,2,2,0,4,2,2,4,1,3,2,2,1,1,2
3,0340a,0340c,1,3,0,1,0,2,3,1,2,2,1,0,1,1,2,1,0,3,2
4,1303c,1303a,1,3,4,1,0,2,2,0,4,2,3,4,1,0,0,2,0,4,2
5,1167a,0518b,0,0,2,1,0,2,2,0,4,2,1,1,1,0,0,1,1,2,1
6,0503a,1330a,0,2,1,1,0,2,3,0,2,2,3,2,1,3,2,2,0,0,2
7,1382a,1229c,0,2,0,1,0,2,2,1,3,2,2,1,0,0,2,2,1,2,2
8,1289a,1289c,1,2,1,1,0,2,3,0,3,2,1,1,1,3,2,2,1,4,2
9,1533c,1358b,0,1,2,1,3,2,1,0,1,1,3,4,0,1,2,2,0,1,2
10,1325b,1325c,1,0,1,1,1,2,2,1,2,1,1,4,1,3,2,3,1,2,2
11,0321c,0321b,1,2,1,1,2,2,2,0,2,2,3,2,1,3,2,2,1,4,2
12,0313c,0453c,0,0,1,1,3,2,2,1,1,1,1,1,1,2,0,1,1,2,1
13,1252a,0544a,0,3,1,1,3,2,3,0,3,2,0,1,1,0,2,2,0,1,1
14,1488a,1488c,1,1,1,1,0,2,3,0,0,2,3,0,1,0,2,2,0,1,2
15,1364c,1364a,1,2,2,1,0,2,2,1,3,2,2,1,1,2,0,2,0,3,2
16,1137a,0307b,0,1,1,1,0,2,1,0,1,2,3,0,1,0,2,2,1,2,2
17,0546c,0546b,1,2,0,1,3,2,1,3,1,2,3,1,1,3,1,3,0,1,2
18,0363c,1495b,0,1,1,1,0,2,2,3,0,2,1,1,1,2,2,1,1,0,2
19,1386a,1365a,0,1,1,1,0,2,2,0,3,2,3,4,1,3,2,1,0,3,2
20,1181a,1181c,1,1,0,1,0,2,1,0,2,2,2,2,1,0,0,3,0,4,2
21,0532b,0547c,0,2,1,1,3,0,2,0,1,1,1,2,1,3,2,1,2,1,1
22,1227b,1303a,0,3,1,1,3,2,1,0,4,2,3,4,1,0,0,2,0,4,2
23,0316b,1178a,0,2,1,1,3,2,2,2,4,2,3,4,1,3,0,2,0,3,2
24,1521c,1521b,1,0,1,1,2,2,2,1,0,2,3,1,1,3,0,2,3,3,2
25,0473b,0473c,1,1,4,1,1,0,3,0,3,2,1,1,1,3,2,3,2,4,1
26,1477b,1477c,1,1,1,1,1,0,2,0,1,1,3,1,1,2,2,2,1,0,1
