,img_id_A,img_id_B,target,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,1120a,1120c,1,0,0,0,0,2,0,0,0,0
1,1442a,1451a,0,-1,3,0,2,0,3,0,-1,0
2,1482b,1482a,1,0,3,0,1,0,1,-1,-3,0
3,0323c,0323b,1,1,2,0,0,1,0,0,2,1
4,1475b,1358a,0,2,3,0,-3,0,1,-1,-1,1
5,0550a,1201b,0,0,1,1,1,-2,0,2,3,0
6,0424a,0424c,1,-1,1,0,-3,2,0,-2,-2,0
7,1517a,1517b,1,-3,0,0,-1,2,0,-2,-3,0
8,1460a,1460b,1,1,2,0,3,0,1,2,1,0
9,0349a,1201a,0,2,-1,0,0,0,-1,-3,1,1
10,1252a,1171b,0,1,-1,0,-2,-2,0,-1,1,0
11,1375c,1375a,1,-2,-2,0,-1,-2,-1,-1,-2,0
12,1224c,1381a,0,0,-1,1,1,-2,-1,-1,0,0
13,1445a,1445c,1,2,2,0,3,0,0,1,-2,0
14,0492a,0492b,1,2,-3,0,-3,0,0,0,2,0
15,0539a,0539b,1,-2,0,0,-3,0,-2,-1,0,-1
16,0597c,0597a,1,2,-1,1,-2,-2,1,0,2,0
17,0359a,1097a,0,1,0,0,1,0,0,0,-1,0
18,1253b,1253c,1,2,3,-1,-4,-1,0,2,2,1
19,1454c,1454a,1,1,-1,-1,-1,0,-1,0,0,1
20,1426b,0402b,0,-2,0,0,-2,0,0,-1,-2,0
21,1416b,0575c,0,0,-2,0,-3,0,2,0,3,1
22,1508b,1212a,0,-2,0,0,3,0,0,0,3,0
23,1271a,1271b,1,-1,-3,0,0,0,-1,-2,-4,-1
24,1294a,1294b,1,2,-2,0,0,0,0,-2,4,1
25,1201a,1039a,0,2,1,0,-3,0,-1,-1,-2,0
26,1284a,0373a,0,0,0,0,0,0,1,1,-3,0
27,1531a,1488b,0,-2,1,0,-1,0,1,1,1,0
28,1432c,0381b,0,-1,1,0,-1,2,0,1,-4,0
29,1260a,1260c,1,0,-1,1,0,2,1,2,2,1
30,0532b,1493b,0,0,4,0,1,0,-2,-2,-2,0
31,0472b,0579c,0,1,0,0,-3,2,1,-1,3,0
32,0340a,0340c,1,-1,0,1,0,-2,1,-1,1,-1
33,1039c,1286a,0,-1,1,0,-3,-1,-2,-1,-2,0
34,1496a,1496c,1,0,-3,1,-1,0,-1,1,-3,0
35,1477a,1477c,1,0,0,0,-3,1,1,0,2,0
36,0307a,1497a,0,-1,-2,0,0,0,0,0,-1,0
37,1374b,0319a,0,-2,4,0,-3,0,1,0,-1,0
38,0319c,0319b,1,-2,0,0,2,0,1,0,-3,0
39,1463a,0411b,0,0,0,0,-1,0,-1,3,0,0
40,0373b,0564c,0,-2,0,0,0,0,0,1,-1,0
41,1426b,1426a,1,1,-2,1,1,2,1,0,-4,1
42,0560c,0560a,1,0,0,1,-1,0,-2,-3,1,0
43,1409a,1409c,1,-2,0,0,3,0,0,0,3,0
44,0375a,0896c,0,1,1,-1,-2,0,0,1,-3,-1
45,1382b,1382a,1,-2,-2,0,0,0,0,0,0,0
46,0489c,0489a,1,0,1,1,-1,0,-1,1,-1,-1
47,0515a,1328b,0,-1,-1,0,0,0,0,-2,-1,0
48,0405c,0564c,0,-1,0,0,2,0,0,0,1,1
49,0314a,0540a,0,2,0,0,3,1,-1,-1,3,0
50,1545a,1107c,0,0,0,0,-1,0,0,1,2,0
51,0496a,0383a,0,2,3,0,2,0,1,-1,1,0
52,1180b,0353a,0,1,-1,0,3,1,1,-1,2,0
53,1417c,1417b,1,1,0,0,0,0,-1,0,0,1
54,1494c,0549c,0,-2,0,0,0,0,1,-1,4,0
55,1222c,1222a,1,-3,-2,0,-3,0,-1,-2,-2,0
56,0577a,0577c,1,-1,-3,0,-3,0,0,-1,3,0
57,0357c,1312a,0,-1,3,1,2,0,0,0,2,0
58,0373b,0373c,1,-1,0,0,-3,1,0,1,-1,-1
59,1508c,0440b,0,1,1,0,-2,0,1,0,1,0
60,1137b,1137c,1,1,-1,0,2,-2,0,0,-3,0
61,0594a,0594c,1,0,0,0,0,0,0,0,-3,0
62,1363a,1363c,1,3,3,0,3,0,0,-3,4,0
63,1534b,1149b,0,1,0,1,-1,0,0,2,-1,0
64,1127b,1127c,1,0,1,-1,0,-1,0,3,-1,0
65,0348a,0348c,1,-1,-3,0,0,-1,-1,-1,3,0
66,1502b,1329c,0,-1,-1,1,-2,-2,1,0,1,-1
67,0363c,1451a,0,0,1,-1,2,0,1,-1,3,1
68,1451c,1451b,1,-1,-4,1,-1,0,0,3,-3,0
69,1231a,1231c,1,3,4,0,-1,0,1,-1,2,0
70,1370b,1370c,1,0,-3,0,2,0,1,0,-4,0
71,0359a,0359b,1,1,0,0,-1,0,-1,0,1,0
72,1300a,1300c,1,1,0,1,0,0,0,0,-1,0
73,1334a,1417c,0,0,1,0,-2,0,1,1,2,0
74,1137a,0307b,0,0,0,0,3,0,0,0,-2,0
75,0328a,0350a,0,0,0,0,0,1,-1,0,-2,0
76,1284a,1284c,1,-2,0,0,-3,0,0,1,1,0
77,0321c,0381a,0,0,0,0,3,2,0,0,1,0
78,1196a,1196c,1,-2,-1,0,3,0,0,-3,-2,0
79,0314b,0314a,1,0,2,1,-1,0,1,-2,-1,0
80,1378b,1378a,1,-3,-3,0,1,0,0,-3,0,0
81,1458a,0355a,0,0,1,-1,-1,-1,0,-1,0,0
82,0373a,0885c,0,0,0,0,-3,2,-1,-1,-2,1
83,0421b,0421c,1,0,0,0,2,-1,1,-1,0,1
84,1180a,0449c,0,-1,0,0,0,0,0,0,2,1
85,1309a,1309c,1,-1,1,0,-3,0,-1,0,-4,0
86,1510a,1545b,0,-2,0,1,-3,0,1,0,-3,0
87,0389c,0583c,0,0,-4,0,-1,-2,-1,-1,1,-1
88,0544a,0464a,0,3,-3,0,-1,0,1,1,-2,0
89,0464a,1294a,0,-1,1,-1,-2,-2,0,1,-4,-1
90,0491b,0491c,1,1,1,0,0,0,-1,0,-1,0
91,1417b,0363a,0,-1,0,0,0,2,-1,0,2,0
92,1432c,1432b,1,1,-1,1,-1,0,2,1,0,0
93,1366a,1181a,0,0,-3,0,0,-1,0,-3,0,0
94,1208a,1208b,1,0,0,1,-2,0,-1,3,0,0
95,0337a,0916a,0,0,1,0,-3,-2,0,-2,-2,-1
96,1091c,1091a,1,1,-1,0,-2,3,1,1,2,1
97,1259a,0549b,0,1,1,0,-3,-2,1,-1,2,1
98,0594a,1497a,0,0,-3,0,0,0,-1,1,3,0
99,1451a,1451c,1,2,-1,0,3,2,0,-1,3,1
100,0510c,1107c,0,2,1,0,3,-1,1,-1,1,1
101,1377c,0315a,0,1,3,0,0,0,1,-2,-1,0
102,1520a,1520c,1,-1,0,0,-3,-2,1,-3,0,0
103,1319a,1319c,1,-2,2,0,-1,0,0,0,-1,1
104,0319a,0319b,1,2,3,0,3,2,1,-1,1,1
105,1257b,1257c,1,1,0,0,1,0,1,0,0,0
106,0331a,0587c,0,2,0,0,-2,0,0,1,2,0
107,1442b,0319c,0,-2,-3,0,-2,0,-1,-1,0,0
108,1152b,1152c,1,0,0,0,3,0,0,0,-2,0
109,0892a,0892c,1,0,-3,-1,0,0,-1,1,0,-1
110,0556a,1394b,0,1,1,0,3,2,0,1,2,1
111,1362a,1543a,0,-2,0,0,3,0,1,0,-2,0
112,0338a,1221c,0,1,0,0,-2,2,1,1,4,1
113,0302c,1165c,0,-1,0,1,3,0,0,-1,0,0
114,1305a,1305b,1,3,0,0,3,0,1,0,2,1
115,0565a,1508b,0,-1,0,1,0,0,0,-1,-2,0
116,0304a,1361a,0,-2,-2,1,-1,0,1,-1,0,0
117,1386a,1551c,0,2,3,0,1,2,0,-1,0,1
118,1463b,1463c,1,1,2,0,0,0,0,-1,-1,1
119,1534b,1119b,0,2,-1,0,-2,1,0,-1,1,1
120,1335b,1335c,1,-2,0,0,0,0,0,-1,2,0
121,1394a,1394b,1,-2,2,0,-1,0,0,-3,2,0
122,1107c,1103a,0,1,0,0,1,1,0,3,0,0
123,1552a,1552b,1,1,0,0,3,-2,0,-2,0,1
124,0440b,0440a,1,-1,-3,0,-3,0,-1,-1,-1,-1
125,1234b,0358b,0,-2,0,0,2,0,-1,0,-1,0
126,1236a,1236b,1,1,1,0,2,0,-1,-2,4,0
127,1341a,0538b,0,2,1,0,0,0,1,0,3,1
128,1492a,0496a,0,-1,0,0,3,0,-2,0,1,0
129,1485a,1485b,1,-1,-3,0,-3,0,0,-1,2,-1
130,1453a,1453c,1,-1,1,0,0,0,-1,-1,-1,1
131,1551a,1551b,1,-1,-1,1,-1,0,-1,1,0,0
132,1191b,1272a,0,0,3,0,0,2,0,0,-1,0
133,0565a,1153a,0,0,0,0,-1,0,-1,-2,0,0
134,1377c,0892c,0,0,-2,1,-2,0,-2,0,-1,0
135,0340b,0340c,1,0,-2,0,-1,-1,0,1,0,1
136,0351c,0351b,1,-1,-3,1,-1,0,2,0,1,0
137,1531a,0354a,0,-2,-2,0,-2,0,-1,-2,-2,-1
138,0307a,0593c,0,0,0,0,-1,0,0,1,-2,1
139,1334a,1334c,1,2,-2,0,-2,0,0,0,2,0
140,0579a,0579c,1,0,0,0,2,-1,1,-1,-1,1
141,1171a,1440b,0,-1,1,0,0,0,0,-3,-2,-1
142,0354b,0354c,1,0,-3,0,0,0,0,-1,2,0
143,1375b,1375c,1,0,0,0,-3,0,0,0,-1,0
144,1513c,1423a,0,0,0,1,-3,0,0,-1,-1,0
145,0923a,0923c,1,1,-1,0,0,2,-1,0,1,1
146,0536a,0536b,1,0,-1,0,0,0,0,0,0,0
147,0372a,0372b,1,0,0,0,4,0,1,-3,-1,0
148,0515a,0540a,0,0,-1,0,-2,2,0,-2,1,0
149,0593a,0372b,0,-1,3,0,-3,2,1,-3,-2,0
150,0458b,1547c,0,0,2,0,0,0,1,0,0,0
151,0412b,0327a,0,1,2,0,-1,0,1,0,-1,0
152,0537a,0537c,1,-1,1,0,-1,0,0,-3,2,-1
153,1463a,0531c,0,2,-1,0,3,0,-1,0,0,0
154,1196a,1196b,1,1,4,1,3,0,2,1,-3,0
155,1155b,1155c,1,3,3,0,-2,-2,0,-1,1,0
156,1164a,1164b,1,-1,-2,0,-2,0,0,-1,-1,-1
157,1252b,1252c,1,3,2,0,4,2,1,-1,1,1
158,0592c,0885c,0,-1,-3,-1,-1,-2,-1,0,0,0
159,1319b,1319c,1,1,3,0,-3,0,-1,0,-1,1
160,1267a,1267b,1,2,-3,1,0,0,1,-1,0,0
161,1425c,0355a,0,2,0,0,1,0,0,-1,-1,0
162,1450b,1450a,1,-3,-1,0,0,0,0,0,1,0
163,1237a,1237c,1,1,1,0,0,0,1,0,-1,1
164,1131a,1131b,1,-2,0,0,-3,0,1,-1,-1,0
165,0403c,0950b,0,-2,4,1,2,0,-1,-1,-1,1
166,1153a,1153c,1,-2,0,0,-1,0,1,-1,1,-1
167,0496f,0496a,1,1,1,0,2,0,0,-1,1,1
168,1140a,1140b,1,1,1,0,0,0,1,2,-1,-1
169,1567b,0317a,0,-1,0,1,-3,0,0,0,-2,-1
170,0477a,1243a,0,1,-1,0,3,2,1,2,-1,1
171,0535a,0448b,0,-2,0,1,-1,-2,-1,-3,-1,-1
172,0544a,1260b,0,1,0,0,1,1,1,-1,1,0
173,0521a,1363c,0,-1,0,1,-1,0,-1,2,0,0
174,1300a,0373a,0,-1,0,-1,0,0,-2,1,0,-1
175,1374b,1374a,1,-2,0,0,1,0,0,1,2,1
176,0321a,0321b,1,1,0,0,3,0,0,0,0,1
177,0337a,1485a,0,-2,-1,0,0,2,0,0,0,0
178,0348a,0348b,1,2,0,1,0,0,-1,-1,4,0
179,1386b,1386c,1,0,0,0,-2,0,1,2,0,0
180,1475b,0569a,0,0,2,1,0,2,0,-3,0,0
181,1267c,1267a,1,-1,0,0,0,0,-1,0,-3,0
182,1371c,0576b,0,1,3,1,-2,0,-1,3,1,0
183,1447a,1447b,1,2,1,0,-3,0,0,3,0,0
184,1518c,1129c,0,-2,-3,0,0,2,1,3,-3,0
185,0923a,0516a,0,1,-1,0,2,0,-1,0,4,1
186,1533b,1091c,0,2,1,0,3,-1,1,-1,2,0
187,0458a,0402b,0,1,0,0,-2,0,1,-1,1,0
188,1336a,1336c,1,1,0,1,-3,0,1,0,-3,0
189,1254c,1254a,1,0,-2,1,-3,2,1,-1,-1,1
190,1391b,1487c,0,0,0,0,-1,2,-1,-1,1,1
191,1135b,0538a,0,1,1,0,0,1,0,-1,2,1
192,1234a,0927a,0,-1,0,0,1,2,0,-1,0,0
193,1129a,0377a,0,1,0,0,0,0,1,0,-3,0
194,0969a,0969c,1,-1,0,0,0,1,0,1,-2,-1
195,0445b,0445c,1,0,-1,0,3,0,0,1,-1,0
196,1378b,1448b,0,1,1,0,0,1,0,0,1,0
197,1254c,1254b,1,1,0,0,-3,2,0,-2,1,-1
198,1446a,1446c,1,-1,0,-1,3,0,0,-3,2,1
199,1144b,1329b,0,-1,-3,0,-3,0,-1,-2,-1,-1
200,1528c,1552b,0,0,-1,0,-2,0,0,2,-1,0
201,0583c,1152c,0,-1,-3,0,0,0,-2,1,-3,0
202,0593a,1443c,0,2,1,-1,0,0,2,2,-2,0
203,1234a,1234b,1,0,-1,0,0,-2,-1,0,-1,-1
204,1129c,1129b,1,0,0,0,-3,0,0,0,-1,0
205,0321c,1180a,0,0,0,0,-3,0,-1,1,1,0
206,1374b,0390a,0,0,-3,-1,1,0,-1,0,0,-1
207,1364b,1364a,1,1,1,1,-2,-2,0,-1,-1,0
208,0458a,1547c,0,-1,-1,1,-2,0,0,0,0,0
209,1329a,0304a,0,-1,-1,0,-3,0,0,0,-3,0
210,0489c,1383b,0,-1,0,0,3,0,0,0,2,1
211,1454b,1454a,1,0,0,1,0,0,-1,0,-1,-1
212,1538c,1538b,1,2,0,0,0,2,1,-1,-2,1
213,0597b,1501c,0,1,0,0,0,-2,0,-1,1,1
214,1561b,0525c,0,-2,1,0,1,0,-1,-1,-1,0
215,0321b,0380a,0,-2,-2,0,-3,0,-1,0,-3,-1
216,1483a,1567c,0,-1,3,1,0,0,-1,0,1,0
217,1123b,1426a,0,-3,0,0,2,0,0,0,-1,0
218,0313c,0313b,1,2,1,0,-2,-2,0,0,-1,0
219,0522b,0522c,1,1,1,0,-3,0,-1,0,-2,0
220,1534c,1534a,1,2,1,0,1,-1,0,-1,-3,0
221,0473a,0473c,1,0,-1,0,1,0,-1,-1,-1,0
222,1562b,0580b,0,1,-1,0,1,0,0,-1,1,1
223,0579a,1374c,0,0,0,0,0,0,-1,-2,3,0
224,1325a,1325c,1,0,-1,0,0,0,1,0,-3,-1
225,1123b,1123a,1,1,1,0,-1,0,-1,0,-2,1
226,1442b,1476c,0,0,0,0,-1,0,0,1,2,0
227,1463a,1134b,0,2,0,0,-1,1,2,3,-1,-1
228,1152b,1152a,1,0,0,0,-1,0,1,0,-2,1
229,0556b,0556c,1,0,0,0,0,0,0,2,-3,1
