,img_id_A,img_id_B,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
0,0359a,0359b,1,2,1,1,0,2,2,0,2,2,3,2,1,0,2,2,3,0,2
1,0375a,0359b,0,3,0,1,3,2,2,0,4,2,3,2,1,0,2,2,3,0,2
2,0359a,1413c,0,2,1,1,0,2,2,0,2,2,1,4,1,3,2,2,1,2,2
3,1413a,1413c,1,2,1,1,1,2,3,0,1,2,1,4,1,3,2,2,1,2,2
4,1413b,1413c,1,0,1,1,0,2,1,0,2,2,1,4,1,3,2,2,1,2,2
5,0577a,0577b,1,2,1,1,0,2,2,0,1,2,2,1,0,3,2,2,1,2,2
6,0576c,0577b,0,2,4,1,1,2,2,0,2,2,2,1,0,3,2,2,1,2,2
7,1366a,0577b,0,3,1,1,0,2,1,1,1,2,2,1,0,3,2,2,1,2,2
8,0577a,0577c,1,2,1,1,0,2,2,0,1,2,1,1,1,1,2,3,0,0,2
9,0577b,0577c,1,2,1,0,3,2,2,1,2,2,1,1,1,1,2,3,0,0,2
10,0577a,0350b,0,2,1,1,0,2,2,0,1,2,2,1,1,3,2,1,1,4,2
11,1565b,0350b,0,2,1,1,3,0,2,0,2,2,2,1,1,3,2,1,1,4,2
12,1120a,1120b,1,2,1,1,3,2,2,0,2,2,1,1,1,0,2,2,0,2,2
13,1120a,1120c,1,2,1,1,3,2,2,0,2,2,2,1,1,0,2,2,0,0,2
14,1120b,1120c,1,1,1,1,0,2,2,0,2,2,2,1,1,0,2,2,0,0,2
15,1120a,0597b,0,2,1,1,3,2,2,0,2,2,2,4,1,3,2,3,0,3,2
16,0338b,0597b,0,2,1,1,3,2,1,0,3,2,2,4,1,3,2,3,0,3,2
17,0597c,0597b,1,1,4,1,0,2,2,1,1,2,2,4,1,3,2,3,0,3,2
18,0461a,0597b,0,3,1,1,3,0,2,0,0,2,2,4,1,3,2,3,0,3,2
19,1120a,1481c,0,2,1,1,3,2,2,0,2,2,2,1,1,3,2,1,0,0,2
20,1481a,1481c,1,3,1,1,1,2,2,0,3,2,2,1,1,3,2,1,0,0,2
21,1481b,1481c,1,2,1,1,1,2,2,1,0,2,2,1,1,3,2,1,0,0,2
22,1121a,1121b,1,2,1,1,3,2,2,0,1,2,2,1,1,0,2,2,0,3,2
23,1121a,1121c,1,2,1,1,3,2,2,0,1,2,1,1,1,0,2,2,0,1,2
24,1121b,1121c,1,2,1,1,0,2,2,0,3,2,1,1,1,0,2,2,0,1,2
25,1121a,1502b,0,2,1,1,3,2,2,0,1,2,3,4,1,3,2,2,0,4,2
26,1261b,1502b,0,3,4,1,0,2,2,0,2,2,3,4,1,3,2,2,0,4,2
27,1229b,1229c,1,1,1,1,3,2,2,0,2,2,2,1,0,0,2,2,1,2,2
28,1302a,1302b,1,2,1,1,3,2,2,0,0,2,3,1,1,0,2,2,0,2,2
